atleast,agglevel,clusters,method,dimension,TotalSum
AtLeastIn1,PG,Cluster42,Ward,df_LatDephtDistance,20092.695082757
AtLeastIn1,PG,Cluster42,Ward,df_AbioticsDistance,91237.8176549571
AtLeastIn1,PG,Cluster42,Medoid,df_LatDephtDistance,19547.3943035126
AtLeastIn1,PG,Cluster42,Medoid,df_AbioticsDistance,87344.3970969403
AtLeastIn1,PG,Cluster43,Ward,df_LatDephtDistance,19866.142073612
AtLeastIn1,PG,Cluster43,Ward,df_AbioticsDistance,84206.5339403578
AtLeastIn1,PG,Cluster43,Medoid,df_LatDephtDistance,19540.1831454912
AtLeastIn1,PG,Cluster43,Medoid,df_AbioticsDistance,86881.7917676854
AtLeastIn1,PG,Cluster44,Ward,df_LatDephtDistance,19428.9958082062
AtLeastIn1,PG,Cluster44,Ward,df_AbioticsDistance,83513.6494626443
AtLeastIn1,PG,Cluster44,Medoid,df_LatDephtDistance,18790.1537551144
AtLeastIn1,PG,Cluster44,Medoid,df_AbioticsDistance,82662.5998248495
AtLeastIn1,PG,Cluster45,Ward,df_LatDephtDistance,17987.9804146189
AtLeastIn1,PG,Cluster45,Ward,df_AbioticsDistance,81799.5570363955
AtLeastIn1,PG,Cluster45,Medoid,df_LatDephtDistance,18010.5079589158
AtLeastIn1,PG,Cluster45,Medoid,df_AbioticsDistance,76897.5330856866
AtLeastIn1,PG,Cluster46,Ward,df_LatDephtDistance,17523.5207766589
AtLeastIn1,PG,Cluster46,Ward,df_AbioticsDistance,80104.2358059727
AtLeastIn1,PG,Cluster46,Medoid,df_LatDephtDistance,17658.0737337225
AtLeastIn1,PG,Cluster46,Medoid,df_AbioticsDistance,70864.1775822323
AtLeastIn1,PG,Cluster47,Ward,df_LatDephtDistance,17362.4683590027
AtLeastIn1,PG,Cluster47,Ward,df_AbioticsDistance,79089.3249674888
AtLeastIn1,PG,Cluster47,Medoid,df_LatDephtDistance,17393.0097819594
AtLeastIn1,PG,Cluster47,Medoid,df_AbioticsDistance,69792.3954015585
AtLeastIn1,PG,Cluster48,Ward,df_LatDephtDistance,17048.0532110778
AtLeastIn1,PG,Cluster48,Ward,df_AbioticsDistance,75965.977152146
AtLeastIn1,PG,Cluster48,Medoid,df_LatDephtDistance,17038.4327141038
AtLeastIn1,PG,Cluster48,Medoid,df_AbioticsDistance,69891.1928981657
AtLeastIn1,PG,Cluster49,Ward,df_LatDephtDistance,16133.354655976
AtLeastIn1,PG,Cluster49,Ward,df_AbioticsDistance,71789.0687544318
AtLeastIn1,PG,Cluster49,Medoid,df_LatDephtDistance,16999.4412141038
AtLeastIn1,PG,Cluster49,Medoid,df_AbioticsDistance,69870.7385135985
AtLeastIn1,PG,Cluster50,Ward,df_LatDephtDistance,15429.6987159375
AtLeastIn1,PG,Cluster50,Ward,df_AbioticsDistance,71016.8737404455
AtLeastIn1,PG,Cluster50,Medoid,df_LatDephtDistance,16314.3766429797
AtLeastIn1,PG,Cluster50,Medoid,df_AbioticsDistance,65152.4583616332
AtLeastIn1,SG1,Cluster01,Ward,df_LatDephtDistance,784802.074533109
AtLeastIn1,SG1,Cluster01,Ward,df_AbioticsDistance,4700037.26008162
AtLeastIn1,SG1,Cluster01,Medoid,df_LatDephtDistance,784802.074533109
AtLeastIn1,SG1,Cluster01,Medoid,df_AbioticsDistance,4700037.26008162
AtLeastIn1,SG1,Cluster02,Ward,df_LatDephtDistance,419666.6882029
AtLeastIn1,SG1,Cluster02,Ward,df_AbioticsDistance,2177288.44261809
