atleast,agglevel,clusters,method,dimension,TotalSum,AlphaGeo
AtLeastIn1,SG1,Cluster13,Medoid,df_AbioticsDistance,247571.82998927,0
AtLeastIn1,SG1,Cluster14,Ward,df_LatDephtDistance,249085.25878814,0
AtLeastIn1,SG1,Cluster14,Ward,df_AbioticsDistance,245916.658261896,0
AtLeastIn1,SG1,Cluster14,Medoid,df_LatDephtDistance,248433.474075306,0
AtLeastIn1,SG1,Cluster14,Medoid,df_AbioticsDistance,245832.287072262,0
AtLeastIn1,SG1,Cluster15,Ward,df_LatDephtDistance,221337.62590411,0
AtLeastIn1,SG1,Cluster15,Ward,df_AbioticsDistance,218310.683337165,0
AtLeastIn1,SG1,Cluster15,Medoid,df_LatDephtDistance,226042.674878472,0
AtLeastIn1,SG1,Cluster15,Medoid,df_AbioticsDistance,223530.317614489,0
AtLeastIn1,SG1,Cluster16,Ward,df_LatDephtDistance,220188.599921675,0
AtLeastIn1,SG1,Cluster16,Ward,df_AbioticsDistance,217249.750681732,0
AtLeastIn1,SG1,Cluster16,Medoid,df_LatDephtDistance,203763.951506951,0
AtLeastIn1,SG1,Cluster16,Medoid,df_AbioticsDistance,201539.969622512,0
AtLeastIn1,SG1,Cluster17,Ward,df_LatDephtDistance,197550.24947093,0
AtLeastIn1,SG1,Cluster17,Ward,df_AbioticsDistance,194831.501785984,0
AtLeastIn1,SG1,Cluster17,Medoid,df_LatDephtDistance,173100.825665429,0
AtLeastIn1,SG1,Cluster17,Medoid,df_AbioticsDistance,170974.939303243,0
AtLeastIn1,SG1,Cluster18,Ward,df_LatDephtDistance,168578.094641107,0
AtLeastIn1,SG1,Cluster18,Ward,df_AbioticsDistance,165772.976131108,0
AtLeastIn1,SG1,Cluster18,Medoid,df_LatDephtDistance,165475.910055018,0
AtLeastIn1,SG1,Cluster18,Medoid,df_AbioticsDistance,163529.940000116,0
AtLeastIn1,SG1,Cluster19,Ward,df_LatDephtDistance,166806.995555774,0
AtLeastIn1,SG1,Cluster19,Ward,df_AbioticsDistance,164328.662162392,0
AtLeastIn1,SG1,Cluster19,Medoid,df_LatDephtDistance,161510.686187873,0
AtLeastIn1,SG1,Cluster19,Medoid,df_AbioticsDistance,159204.056918239,0
AtLeastIn1,SG1,Cluster20,Ward,df_LatDephtDistance,163600.992814277,0
AtLeastIn1,SG1,Cluster20,Ward,df_AbioticsDistance,161331.773946689,0
AtLeastIn1,SG1,Cluster20,Medoid,df_LatDephtDistance,147356.342025076,0
AtLeastIn1,SG1,Cluster20,Medoid,df_AbioticsDistance,145047.275580701,0
AtLeastIn1,SG1,Cluster21,Ward,df_LatDephtDistance,151873.528520044,0
AtLeastIn1,SG1,Cluster21,Ward,df_AbioticsDistance,149599.45903157,0
AtLeastIn1,SG1,Cluster21,Medoid,df_LatDephtDistance,139445.557471149,0
AtLeastIn1,SG1,Cluster21,Medoid,df_AbioticsDistance,137358.625656856,0
AtLeastIn1,SG1,Cluster22,Ward,df_LatDephtDistance,148173.598927748,0
AtLeastIn1,SG1,Cluster22,Ward,df_AbioticsDistance,146173.642798577,0
AtLeastIn1,SG1,Cluster22,Medoid,df_LatDephtDistance,138117.681613564,0
AtLeastIn1,SG1,Cluster22,Medoid,df_AbioticsDistance,136242.241002325,0
AtLeastIn1,SG1,Cluster23,Ward,df_LatDephtDistance,147823.443110118,0
AtLeastIn1,SG1,Cluster23,Ward,df_AbioticsDistance,145861.06061849,0
AtLeastIn1,SG1,Cluster23,Medoid,df_LatDephtDistance,116527.654480348,0
AtLeastIn1,SG1,Cluster23,Medoid,df_AbioticsDistance,114733.031490442,0
AtLeastIn1,SG1,Cluster24,Ward,df_LatDephtDistance,129807.605119,0
AtLeastIn1,SG1,Cluster24,Ward,df_AbioticsDistance,127775.403040608,0
AtLeastIn1,SG1,Cluster24,Medoid,df_LatDephtDistance,115241.48367005,0
AtLeastIn1,SG1,Cluster24,Medoid,df_AbioticsDistance,113843.657024498,0
AtLeastIn1,SG1,Cluster25,Ward,df_LatDephtDistance,124793.39415865,0
