atleast,agglevel,clusters,method,dimension,TotalSum
AtLeastIn1,SG1,Cluster05,Ward,df_LatDephtDistance,118593.559210599
AtLeastIn1,SG1,Cluster05,Ward,df_AbioticsDistance,1194174.84242162
AtLeastIn1,SG1,Cluster05,Medoid,df_LatDephtDistance,104360.336506557
AtLeastIn1,SG1,Cluster05,Medoid,df_AbioticsDistance,776108.997038374
AtLeastIn1,SG1,Cluster06,Ward,df_LatDephtDistance,75401.7860126701
AtLeastIn1,SG1,Cluster06,Ward,df_AbioticsDistance,757752.645421846
AtLeastIn1,SG1,Cluster06,Medoid,df_LatDephtDistance,77253.7320621325
AtLeastIn1,SG1,Cluster06,Medoid,df_AbioticsDistance,591537.057462126
AtLeastIn1,SG1,Cluster07,Ward,df_LatDephtDistance,67672.6877741831
AtLeastIn1,SG1,Cluster07,Ward,df_AbioticsDistance,658647.466047017
AtLeastIn1,SG1,Cluster07,Medoid,df_LatDephtDistance,61465.818860496
AtLeastIn1,SG1,Cluster07,Medoid,df_AbioticsDistance,463509.814908558
AtLeastIn1,SG1,Cluster08,Ward,df_LatDephtDistance,48607.0745290209
AtLeastIn1,SG1,Cluster08,Ward,df_AbioticsDistance,410123.848047081
AtLeastIn1,SG1,Cluster08,Medoid,df_LatDephtDistance,49932.0364080219
AtLeastIn1,SG1,Cluster08,Medoid,df_AbioticsDistance,411205.096544889
AtLeastIn1,SG1,Cluster09,Ward,df_LatDephtDistance,39110.8470462232
AtLeastIn1,SG1,Cluster09,Ward,df_AbioticsDistance,319611.242052021
AtLeastIn1,SG1,Cluster09,Medoid,df_LatDephtDistance,45453.3391110786
AtLeastIn1,SG1,Cluster09,Medoid,df_AbioticsDistance,365150.409443023
AtLeastIn1,SG1,Cluster10,Ward,df_LatDephtDistance,36916.4000156985
AtLeastIn1,SG1,Cluster10,Ward,df_AbioticsDistance,307068.999756499
AtLeastIn1,SG1,Cluster10,Medoid,df_LatDephtDistance,40281.7751017074
AtLeastIn1,SG1,Cluster10,Medoid,df_AbioticsDistance,297071.529762384
AtLeastIn1,SG1,Cluster11,Ward,df_LatDephtDistance,35009.8459929657
AtLeastIn1,SG1,Cluster11,Ward,df_AbioticsDistance,303069.12157881
AtLeastIn1,SG1,Cluster11,Medoid,df_LatDephtDistance,36748.0412328681
AtLeastIn1,SG1,Cluster11,Medoid,df_AbioticsDistance,266394.91365295
AtLeastIn1,SG1,Cluster12,Ward,df_LatDephtDistance,31044.1924007643
AtLeastIn1,SG1,Cluster12,Ward,df_AbioticsDistance,267648.719948731
AtLeastIn1,SG1,Cluster12,Medoid,df_LatDephtDistance,29345.3505687374
AtLeastIn1,SG1,Cluster12,Medoid,df_AbioticsDistance,252012.043211083
AtLeastIn1,SG1,Cluster13,Ward,df_LatDephtDistance,28363.1018795159
AtLeastIn1,SG1,Cluster13,Ward,df_AbioticsDistance,219900.687223935
AtLeastIn1,SG1,Cluster13,Medoid,df_LatDephtDistance,27342.3789087386
AtLeastIn1,SG1,Cluster13,Medoid,df_AbioticsDistance,242047.18986027
AtLeastIn1,SG1,Cluster14,Ward,df_LatDephtDistance,27621.2342069245
AtLeastIn1,SG1,Cluster14,Ward,df_AbioticsDistance,206656.009623055
AtLeastIn1,SG1,Cluster14,Medoid,df_LatDephtDistance,25691.9187537574
AtLeastIn1,SG1,Cluster14,Medoid,df_AbioticsDistance,238931.343343854
AtLeastIn1,SG1,Cluster15,Ward,df_LatDephtDistance,26737.6243572956
AtLeastIn1,SG1,Cluster15,Ward,df_AbioticsDistance,188915.829002897
AtLeastIn1,SG1,Cluster15,Medoid,df_LatDephtDistance,22802.5312815933
AtLeastIn1,SG1,Cluster15,Medoid,df_AbioticsDistance,209147.139229044
AtLeastIn1,SG1,Cluster16,Ward,df_LatDephtDistance,24766.0118894296
AtLeastIn1,SG1,Cluster16,Ward,df_AbioticsDistance,182853.516965462
AtLeastIn1,SG1,Cluster16,Medoid,df_LatDephtDistance,21259.4688300055
AtLeastIn1,SG1,Cluster16,Medoid,df_AbioticsDistance,199805.981902569
AtLeastIn1,SG1,Cluster17,Ward,df_LatDephtDistance,22028.0521089641
AtLeastIn1,SG1,Cluster17,Ward,df_AbioticsDistance,173551.507785981
AtLeastIn1,SG1,Cluster17,Medoid,df_LatDephtDistance,20397.5791387328
AtLeastIn1,SG1,Cluster17,Medoid,df_AbioticsDistance,196613.98223928
AtLeastIn1,SG1,Cluster18,Ward,df_LatDephtDistance,19637.1942749327
AtLeastIn1,SG1,Cluster18,Ward,df_AbioticsDistance,168997.804595413
AtLeastIn1,SG1,Cluster18,Medoid,df_LatDephtDistance,19321.0478095487
