atleast,agglevel,clusters,method,dimension,TotalSum
AtLeastIn1,PG,Cluster45,Ward,df_AbioticsDistance,81799.5570363955
AtLeastIn1,PG,Cluster45,Medoid,df_LatDephtDistance,82794.6405994732
AtLeastIn1,PG,Cluster45,Medoid,df_AbioticsDistance,76897.5330856866
AtLeastIn1,PG,Cluster46,Ward,df_LatDephtDistance,85193.3028269741
AtLeastIn1,PG,Cluster46,Ward,df_AbioticsDistance,80104.2358059727
AtLeastIn1,PG,Cluster46,Medoid,df_LatDephtDistance,76757.966018236
AtLeastIn1,PG,Cluster46,Medoid,df_AbioticsDistance,70864.1775822323
AtLeastIn1,PG,Cluster47,Ward,df_LatDephtDistance,84146.3029675619
AtLeastIn1,PG,Cluster47,Ward,df_AbioticsDistance,79089.3249674888
AtLeastIn1,PG,Cluster47,Medoid,df_LatDephtDistance,75654.4639299439
AtLeastIn1,PG,Cluster47,Medoid,df_AbioticsDistance,69792.3954015585
AtLeastIn1,PG,Cluster48,Ward,df_LatDephtDistance,80994.2831775456
AtLeastIn1,PG,Cluster48,Ward,df_AbioticsDistance,75965.977152146
AtLeastIn1,PG,Cluster48,Medoid,df_LatDephtDistance,75487.1140299289
AtLeastIn1,PG,Cluster48,Medoid,df_AbioticsDistance,69891.1928981657
AtLeastIn1,PG,Cluster49,Ward,df_LatDephtDistance,76716.4958404503
AtLeastIn1,PG,Cluster49,Ward,df_AbioticsDistance,71789.0687544318
AtLeastIn1,PG,Cluster49,Medoid,df_LatDephtDistance,75444.1467952644
AtLeastIn1,PG,Cluster49,Medoid,df_AbioticsDistance,69870.7385135985
AtLeastIn1,PG,Cluster50,Ward,df_LatDephtDistance,75587.0154537754
AtLeastIn1,PG,Cluster50,Ward,df_AbioticsDistance,71016.8737404455
AtLeastIn1,PG,Cluster50,Medoid,df_LatDephtDistance,70634.6650468173
AtLeastIn1,PG,Cluster50,Medoid,df_AbioticsDistance,65152.4583616332
AtLeastIn1,SG1,Cluster01,Ward,df_LatDephtDistance,4850881.03217741
AtLeastIn1,SG1,Cluster01,Ward,df_AbioticsDistance,4700037.26008162
